STATE_NAME,COUNTY_NAME,TOTAL_POPULATION,RUCC
Wyoming,Converse,13672,6
Washington,Grays Harbor,76841,4
West Virginia,Kanawha,177952,3
Wisconsin,Bayfield,16320,8
Washington,Lincoln,11232,8
Wisconsin,St. Croix,95044,1
West Virginia,Monroe,12332,8
Wisconsin,Monroe,46193,4
Wyoming,Crook,7315,9
Wisconsin,Waupaca,51570,6
West Virginia,Upshur,23791,7
West Virginia,Hancock,28656,3
West Virginia,Gilmer,7377,9
Wisconsin,Jefferson,84943,4
Wisconsin,Outagamie,191545,3
West Virginia,Barbour,15468,9
Wisconsin,Lincoln,28541,6
Washington,Okanogan,42634,6
Wisconsin,Washburn,16752,8
Washington,Klickitat,23118,9
West Virginia,Clay,7892,3
Wisconsin,Iron,6178,9
Wisconsin,Sawyer,18295,9
Washington,Franklin,98268,2
Wisconsin,Vilas,23520,9
Wisconsin,Chippewa,66865,3
Wisconsin,Florence,4593,9
Wisconsin,Portage,70468,4
Wyoming,Niobrara,2438,9
Wisconsin,Waushara,24828,8
West Virginia,Harrison,65158,5
Wisconsin,Clark,34746,8
Wisconsin,La Crosse,120433,3
Wyoming,Hot Springs,4597,9
Wyoming,Weston,6745,9
Wisconsin,Wood,74070,4
West Virginia,Boone,21312,3
Wisconsin,Adams,20875,8
Wisconsin,Lafayette,16784,8
West Virginia,Wayne,38498,2
West Virginia,Taylor,16492,6
Wisconsin,Richland,17212,8
Wisconsin,Trempealeau,30724,8
Washington,Island,87432,4
West Virginia,Pendleton,6142,8
Wisconsin,Burnett,16744,8
Wyoming,Park,30108,7
Wisconsin,Winnebago,171623,3
Wisconsin,Door,30369,6
Wyoming,Albany,37608,4
Wisconsin,Brown,269591,2
West Virginia,Hardy,14160,8
Washington,Grant,100297,5
Washington,Ferry,7273,8
Wisconsin,Oconto,39356,2
West Virginia,Greenbrier,32608,6
Wisconsin,Kewaunee,20543,2
West Virginia,Mason,25157,6
Washington,King,2252305,1
Wisconsin,Vernon,30915,3
West Virginia,Jefferson,58370,1
West Virginia,Grant,10983,9
West Virginia,Morgan,17221,2
Wisconsin,Columbia,58488,2
West Virginia,Monongalia,106387,3
Wyoming,Fremont,39336,7
Wyoming,Campbell,46401,5
Nebraska,Holt,10049,9
Missouri,St. Louis City,293310,1
Nebraska,Antelope,6279,9
Nebraska,Scotts Bluff,35745,5
Nebraska,Arthur,439,9
Missouri,Clay,255518,1
Nebraska,Wheeler,795,9
Montana,Sweet Grass,3723,8
Missouri,Gasconade,14791,8
Montana,Musselshell,4896,8
Nebraska,Keith,8279,9
Missouri,Reynolds,6087,9
Montana,Roosevelt,10821,9
Montana,Prairie,1091,9
Nebraska,Howard,6531,3
Missouri,Howard,10168,3
Nebraska,Keya Paha,787,9
Missouri,Maries,8406,8
Montana,Granite,3344,8
Nebraska,Deuel,1865,9
Montana,McCone,1718,9
Montana,Silver Bow,35411,5
Montana,Mineral,4860,3
Missouri,Laclede,36133,6
Missouri,Lafayette,32817,1
Montana,Sanders,12959,8
Nebraska,York,14244,6
Montana,Rosebud,8124,8
Missouri,Polk,32043,2
Missouri,Scotland,4693,9
Missouri,Worth,1983,9
Nebraska,Clay,6078,9
Montana,Gallatin,122713,3
Nebraska,Douglas,585008,2
Missouri,Phelps,44937,5
Nebraska,Cedar,8330,9
Montana,Glacier,13785,9
Missouri,Stone,31548,6
Nebraska,Merrick,7665,3
Missouri,Warren,36518,1
Montana,Missoula,119533,3
Missouri,Lewis,10000,9
Missouri,Mercer,3488,9
Missouri,Randolph,24760,6
Montana,Chouteau,5916,8
Nebraska,Red Willow,10623,7
Missouri,Lincoln,61586,1
Montana,Lincoln,20525,9
Nebraska,Blaine,461,9
Missouri,Johnson,54150,4
Nebraska,Brown,2908,9
Montana,Toole,5011,9
Missouri,Pettis,43188,5
Nevada,Clark,2292476,1
Missouri,Shelby,5976,9
Montana,Custer,11916,7
Nebraska,Knox,8401,9
Nebraska,Greeley,2169,8
Missouri,Jasper,123155,3
Nebraska,Johnson,5316,8
Montana,Wheatland,2059,9
Nebraska,Valley,4066,9
Montana,Deer Lodge,9491,7
Missouri,Clinton,21287,1
Nebraska,Hall,61979,3
Missouri,Webster,39735,2
Montana,Yellowstone,167146,3
Montana,Golden Valley,831,8
Missouri,Gentry,6173,8
Nebraska,Kearney,6674,9
Missouri,Marion,28518,7
Missouri,Vernon,19595,6
Montana,Lake,32033,6
Missouri,Holt,4226,8
Nebraska,Gage,21616,6
Nebraska,Boyd,1789,9
Missouri,Howell,39975,7
Missouri,Ozark,8782,9
Montana,Richland,11283,7
Missouri,St. Francois,67541,4
Missouri,Knox,3808,9
Nebraska,Kimball,3412,8
Nebraska,Franklin,2903,9
Nebraska,Gosper,1824,9
Nebraska,Banner,692,8
Nebraska,Dodge,37103,4
Nebraska,Loup,604,9
Missouri,Mississippi,12538,8
Nebraska,Lancaster,324514,2
Montana,Cascade,84511,3
Montana,Judith Basin,2044,8
Missouri,Ray,23008,1
Missouri,Nodaway,21160,6
Nebraska,Cass,27017,2
Nebraska,Webster,3411,9
Nebraska,Butler,8444,8
Missouri,Macon,15183,7
Montana,Petroleum,519,9
Missouri,Putnam,4712,9
Missouri,Daviess,8399,8
Nebraska,Grant,579,9
Nebraska,Frontier,2555,9
Montana,Jefferson,12470,3
Nebraska,Seward,17603,2
Missouri,Monroe,8712,9
Nebraska,Platte,34241,5
Montana,Flathead,108454,5
Nebraska,Cheyenne,9529,7
Montana,Pondera,5994,9
Missouri,Crawford,22807,8
Nebraska,Hitchcock,2586,9
Missouri,St. Clair,9376,8
Missouri,Franklin,105231,1
Missouri,Dade,7599,8
Missouri,Washington,23502,8
Montana,Meagher,1964,8
Missouri,Pike,17761,8
Nebraska,Colfax,10498,7
Missouri,Saline,23289,7
Montana,Beaverhead,9524,9
Montana,Carter,1428,9
Montana,Stillwater,9044,3
Montana,Wibaux,934,9
Missouri,Cooper,17115,3
Nebraska,Jefferson,7176,9
Nebraska,Madison,35337,5
Missouri,Ripley,10617,9
Missouri,Schuyler,4025,9
Nebraska,Saunders,22787,2
Montana,Powder River,1702,9
Missouri,Wayne,10914,9
Missouri,Texas,24987,9
Montana,Powell,6999,8
Missouri,Morgan,21379,8
Nebraska,Otoe,15930,6
Missouri,Osage,13379,3
Nebraska,Lincoln,34133,5
Montana,Madison,8917,8
Missouri,Dallas,17341,2
Nebraska,Dawes,8148,9
Missouri,Livingston,14755,7
Nebraska,Chase,3826,9
Missouri,New Madrid,16035,9
Missouri,Montgomery,11415,8
Missouri,Taney,56387,4
Nebraska,Nemaha,7064,9
Montana,Phillips,4192,9
Nebraska,Pierce,7313,9
Missouri,Jackson,716862,1
Missouri,Shannon,7106,9
Montana,Fallon,3017,9
Nevada,Churchill,25723,6
Missouri,Cole,77205,3
Nebraska,Washington,20969,2
Nebraska,Cherry,5458,9
Montana,Ravalli,45959,6
Montana,Lewis and Clark,72223,3
Missouri,Sullivan,5934,9
Missouri,Moniteau,15484,3
Nebraska,Thayer,4913,9
Missouri,Dent,14432,9
Nebraska,Hayes,843,9
Montana,Hill,16179,7
Missouri,Harrison,8164,9
Nebraska,Stanton,5816,9
Missouri,St. Charles,409981,1
Missouri,Hickory,8607,8
Montana,Broadwater,7288,3
Nebraska,Burt,6709,8
Nebraska,Richardson,7759,9
Nebraska,Buffalo,50339,4
Missouri,Miller,24909,6
Missouri,Lawrence,38321,6
Nebraska,Rock,1264,9
Montana,Valley,7537,9
Nebraska,Custer,10460,9
Nebraska,Boone,5386,9
Missouri,Platte,108569,1
Nebraska,Logan,687,9
Nebraska,Dundy,1635,9
Nebraska,Perkins,2832,9
Nebraska,Box Butte,10604,7
Nebraska,Saline,14192,6
Missouri,Linn,11843,9
Montana,Sheridan,3527,9
Missouri,Iron,9408,9
Missouri,Grundy,9720,7
Missouri,Newton,59386,3
Nebraska,Hooker,734,9
Montana,Carbon,10847,3
Nebraska,Pawnee,2548,9
Missouri,Oregon,8631,9
Nebraska,Sheridan,5095,9
Nebraska,Dawson,23898,7
Missouri,McDonald,23383,8
Nebraska,Sherman,2964,8
Missouri,Douglas,11732,8
Nebraska,Harlan,3091,9
Montana,Blaine,6980,9
Montana,Teton,6269,8
Nebraska,Adams,31027,4
Missouri,Stoddard,28479,6
Missouri,Pemiscot,15236,7
Montana,Treasure,768,8
Nebraska,Nuckolls,4060,9
Montana,Daniels,1686,9
Nebraska,Thomas,673,9
Nebraska,Thurston,6620,8
Nebraska,Fillmore,5546,8
Missouri,Ste. Genevieve,18588,8
Missouri,Perry,18922,6
Nebraska,Dixon,5545,8
Missouri,Dunklin,27717,7
Nebraska,Hamilton,9386,8
Montana,Park,17473,6
Montana,Liberty,1946,9
Nebraska,Polk,5174,8
Montana,Dawson,8904,7
Missouri,Scott,37840,4
Nebraska,Dakota,21241,3
Missouri,Pulaski,53816,5
Montana,Fergus,11617,7
Nebraska,Garden,1847,9
Nebraska,Nance,3390,8
Nebraska,Sioux,1143,9
Nebraska,Sarpy,193418,2
Nebraska,Morrill,4574,9
Missouri,St. Louis,997187,1
Missouri,Greene,300865,2
Nebraska,Phelps,8937,7
Nebraska,McPherson,379,9
Nebraska,Furnas,4604,9
Nebraska,Cuming,8984,9
Missouri,Wright,18610,8
Montana,Big Horn,12957,8
Missouri,Henry,22206,6
Missouri,DeKalb,11098,3
Montana,Garfield,1209,9
Missouri,Jefferson,227771,1
Missouri,Ralls,10361,9
Nebraska,Garfield,1839,9
Missouri,Madison,12652,9
Nebraska,Wayne,9784,7
Nevada,Douglas,49870,4
North Carolina,Jones,9255,8
New Jersey,Cape May,95661,2
New York,Oswego,117387,2
Nevada,Mineral,4586,8
North Carolina,Hyde,4508,9
North Carolina,Sampson,58990,6
North Carolina,Rutherford,64586,4
Nevada,Washoe,493392,2
Nevada,Elko,53915,5
North Carolina,Avery,17864,9
North Carolina,Rockingham,91266,2
North Carolina,Pitt,172169,3
New Mexico,Santa Fe,155201,3
New Mexico,Valencia,77190,2
New York,Hamilton,5119,8
New Mexico,Torrance,15307,2
North Carolina,Montgomery,25798,8
New York,Ulster,182951,3
North Carolina,Cherokee,29167,9
North Carolina,Forsyth,385523,2
North Carolina,Wilson,78369,4
New York,New York,1576876,1
New Jersey,Passaic,518117,1
North Carolina,Haywood,62476,4
New York,Orleans,40191,1
New Mexico,Sierra,11502,6
New Hampshire,Coos,31289,7
New Hampshire,Rockingham,316947,1
North Carolina,Person,39127,2
New Mexico,Socorro,16311,6
Nevada,Carson City,58993,3
New York,Warren,65618,3
New Jersey,Morris,510981,1
New York,Greene,48499,6
North Carolina,Swain,14136,9
North Carolina,Mecklenburg,1122276,1
New York,St. Lawrence,108051,4
New Jersey,Mercer,385898,2
North Carolina,Gaston,230856,1
New York,Broome,197240,3
North Carolina,Granville,61986,6
New Mexico,De Baca,1680,9
North Carolina,Beaufort,44468,6
New Mexico,Guadalupe,4449,9
North Carolina,Pender,62815,2
New Hampshire,Merrimack,155238,4
North Carolina,Richmond,42724,4
New Hampshire,Hillsborough,424079,2
New Jersey,Hudson,702463,1
New York,Richmond,493494,1
North Carolina,New Hanover,229018,2
New York,Schuyler,17752,8
Nevada,Storey,4143,2
North Carolina,Rowan,148150,1
North Carolina,Pamlico,12344,9
New York,Rensselaer,160232,2
New Mexico,Los Alamos,19330,6
North Carolina,Wayne,116835,3
New York,Madison,67658,2
North Carolina,Yancey,18757,8
New Mexico,Lincoln,20436,7
New Mexico,Do̱a Ana,221508,3
New Jersey,Atlantic,274966,2
North Carolina,Camden,10835,1
North Carolina,Mitchell,14963,8
North Carolina,Alleghany,11049,9
North Carolina,Greene,20417,8
New Hampshire,Strafford,132416,1
North Carolina,Iredell,191968,1
North Carolina,Stokes,44553,2
New Jersey,Camden,523771,1
New York,Dutchess,297112,2
New York,Saratoga,237359,2
New Hampshire,Grafton,92201,5
North Carolina,Martin,21754,6
New York,Herkimer,59937,2
North Carolina,Anson,22060,1
New York,Chemung,83045,3
New York,Niagara,211653,1
New Mexico,Sandoval,151369,2
New York,Yates,24613,6
North Carolina,Robeson,116328,4
New Mexico,Taos,34623,7
New York,Essex,37268,6
North Carolina,Stanly,63425,6
North Carolina,Lee,64138,4
North Carolina,Union,243648,1
New Mexico,Grant,27889,7
New York,Cattaraugus,76426,4
Nevada,White Pine,9182,9
New York,Allegany,46106,7
North Carolina,Gates,10366,1
North Carolina,Graham,8043,9
New York,Ontario,112508,1
North Carolina,Wilkes,65806,6
North Carolina,Cleveland,100359,4
Nevada,Lander,5798,9
New Mexico,Roosevelt,19019,7
New York,Schenectady,158089,2
New York,Wayne,90923,1
New Jersey,Monmouth,645354,1
North Carolina,Davie,43533,2
New Mexico,Otero,68537,4
Nevada,Esmeralda,743,9
North Carolina,Duplin,48515,8
New York,Cortland,46311,4
New Jersey,Ocean,648998,1
North Carolina,Dare,37826,4
North Carolina,Hoke,53114,2
New Hampshire,Sullivan,43533,7
New Hampshire,Carroll,51500,6
New York,Westchester,997895,1
North Carolina,Caldwell,80463,2
New Hampshire,Belknap,64460,4
New Jersey,Essex,854917,1
New York,Monroe,755160,1
New Jersey,Salem,65046,1
North Carolina,Transylvania,33165,6
North Carolina,Henderson,116829,2
New York,Tioga,47980,3
North Carolina,Washington,10892,9
North Carolina,Northampton,17129,9
New Jersey,Warren,110731,2
New York,Suffolk,1526344,1
North Carolina,Lenoir,54706,4
Nevada,Pershing,6741,8
New Mexico,Eddy,60911,5
New York,Albany,313743,2
North Carolina,Randolph,145172,2
New York,Tompkins,105162,3
North Carolina,Pasquotank,40821,4
North Carolina,Ashe,26711,9
New York,Rockland,339227,1
North Carolina,Davidson,170637,2
New Mexico,Quay,8656,7
New Jersey,Burlington,464269,1
North Carolina,Durham,326126,2
North Carolina,Perquimans,13130,8
New York,Montgomery,49558,4
New York,Clinton,79596,4
North Carolina,Buncombe,271534,2
North Carolina,Vance,42185,6
New York,Kings,2641052,1
New York,Cayuga,75880,4
North Carolina,Guilford,542410,2
New York,Onondaga,473236,2
North Carolina,Orange,148884,2
New York,Livingston,61578,1
New Mexico,San Miguel,27150,6
North Carolina,Macon,37564,7
New Mexico,Harding,639,9
North Carolina,Cabarrus,231278,1
New York,Otsego,58123,7
New Mexico,Cibola,27184,6
North Carolina,Tyrrell,3254,9
North Carolina,Yadkin,37192,2
New Mexico,Bernalillo,674393,2
North Carolina,Alamance,173877,3
New Jersey,Cumberland,153627,3
North Carolina,Currituck,29653,1
Nevada,Lincoln,4525,8
New Mexico,Curry,47999,5
North Carolina,Scotland,34227,6
Nevada,Humboldt,17648,7
New Mexico,Mora,4196,8
North Carolina,Franklin,71703,1
New York,Seneca,33688,6
North Carolina,Columbus,50092,6
North Carolina,Chowan,13722,8
North Carolina,Alexander,36644,2
New Jersey,Somerset,345647,1
North Carolina,Hertford,21278,8
New York,Sullivan,79806,6
New Jersey,Gloucester,304477,1
North Carolina,Lincoln,89670,1
New York,Lewis,26573,8
New York,Chautauqua,126807,4
North Carolina,Wake,1150204,1
New Mexico,Hidalgo,4074,9
New Mexico,Catron,3731,9
New Mexico,Colfax,12369,7
North Carolina,Johnston,226504,1
Nevada,Eureka,1903,9
New York,Fulton,53116,4
North Carolina,Watauga,54234,5
North Carolina,Jackson,43410,7
North Carolina,Catawba,161723,2
North Carolina,Carteret,68541,4
New Mexico,Chaves,64629,5
New Hampshire,Cheshire,77329,4
New York,Putnam,97936,1
New York,Chenango,46537,6
Nevada,Lyon,60903,2
New York,Nassau,1390907,1
North Carolina,Moore,102763,3
North Carolina,Bertie,17505,9
New York,Queens,2331143,1
New Jersey,Bergen,953819,1
North Carolina,Cumberland,335508,2
New York,Oneida,230274,2
New Jersey,Hunterdon,129924,1
New Mexico,San Juan,120993,3
New York,Washington,60956,3
New York,Bronx,1424948,1
North Carolina,Clay,11309,9
New York,Wyoming,40491,8
North Carolina,Madison,21502,2
New York,Franklin,47456,7
North Carolina,Chatham,77889,2
New Mexico,McKinley,71780,5
New Mexico,Union,4107,9
North Carolina,Caswell,22714,8
New York,Orange,404525,2
Nevada,Nye,53450,4
North Carolina,Edgecombe,48359,3
New Mexico,Rio Arriba,40179,6
North Carolina,Nash,95176,3
North Carolina,Onslow,206160,3
New Jersey,Sussex,145543,1
New York,Schoharie,29863,2
New York,Columbia,61778,6
North Carolina,Burke,87611,2
New York,Delaware,44378,8
New Mexico,Lea,73004,5
New York,Jefferson,116295,3
New York,Steuben,92948,4
New York,Erie,950683,1
New Jersey,Union,572114,1
North Carolina,Halifax,48272,4
North Carolina,Bladen,29525,8
North Carolina,Brunswick,144215,2
North Carolina,Warren,18762,8
North Carolina,Surry,71152,6
New Jersey,Middlesex,860807,1
North Carolina,Harnett,135966,4
New York,Genesee,57853,4
New Mexico,Luna,25532,6
