STATE_FIPS,WEIGHTED_RUCC
50,5.531581393187416
56,5.514712259611647
46,4.822906801165097
30,4.70381183604387
38,4.666474395701389
28,4.27586869674725
54,4.220974234404716
23,4.025816780798209
19,3.9943493411844813
5,3.927411463268175
2,3.9159884423201063
31,3.6504156456307806
21,3.58337461752067
16,3.5068711357587876
35,3.431743433101262
20,3.203980669137888
55,2.970121820082675
1,2.852597989990628
40,2.7847359643047693
33,2.720957356125881
29,2.7020784227196755
18,2.559927034808335
45,2.513470520863735
22,2.5047556826303885
47,2.485895494592427
37,2.4785737343431937
27,2.465304456152463
13,2.2782404404028838
26,2.274222149834476
41,2.232268487608201
49,2.1705507081389164
39,2.1210955807618954
10,2.107132463742695
8,2.0805962558255935
42,2.0089649412190136
15,1.9947924217840065
51,1.9768854817609338
17,1.8571248526907178
53,1.8136959062332496
48,1.7817442130489223
32,1.5370622880281781
12,1.5261627405155513
36,1.50810834873091
4,1.4743650495662917
25,1.4003881041524482
24,1.3254123311937187
6,1.305879891031707
34,1.1267393464859132
44,1.0
